segment,reference,model,prediction,standard_wer_pct,lattice_wer_pct,wer_reduction_pct
ch_2054042_186.66_189.27.wav,और रक्षाबंधन पे चलो बहनों को,Model m,और रक्षा बंधन पे चलो बहनों को,33.33,16.67,16.67
ch_2054042_186.66_189.27.wav,और रक्षाबंधन पे चलो बहनों को,Model n,और रक्षा बंधन पे चलो बहनों को,33.33,16.67,16.67
ch_2059414_678.27_680.07.wav,एक सिंपल और सादा वे में,Model H,एक सिंपल और सादा वे में,0.0,0.0,0.0
ch_2059414_678.27_680.07.wav,एक सिंपल और सादा वे में,Model i,एक सिंपल और सादा वे में।,0.0,0.0,0.0
ch_2059414_678.27_680.07.wav,एक सिंपल और सादा वे में,Model k,एक सिंपल और सादा वे में?,0.0,0.0,0.0
ch_2059414_678.27_680.07.wav,एक सिंपल और सादा वे में,Model l,एक सिंपल और सादावे में,33.33,16.67,16.67
ch_2059414_678.27_680.07.wav,एक सिंपल और सादा वे में,Model m,एक सिंपल और सादा वे में,0.0,0.0,0.0
ch_2059414_678.27_680.07.wav,एक सिंपल और सादा वे में,Model n,एक सिंपल और सादा वे में,0.0,0.0,0.0
ch_292958_499.83_502.32.wav,आने वाली चुनौतियों  का इंतजार करना,Model H,आने वाली चुनौतियों का इंतजार करना,0.0,0.0,0.0
ch_292958_499.83_502.32.wav,आने वाली चुनौतियों  का इंतजार करना,Model i,आने वाली चुनौतियों का इंतजार करना।,0.0,0.0,0.0
ch_292958_499.83_502.32.wav,आने वाली चुनौतियों  का इंतजार करना,Model k,आने वाली चुनौतियों का इंतजार करना?,0.0,0.0,0.0
ch_292958_499.83_502.32.wav,आने वाली चुनौतियों  का इंतजार करना,Model l,आने वाली चुनौतियों का इंतजार करना,0.0,0.0,0.0
ch_292958_499.83_502.32.wav,आने वाली चुनौतियों  का इंतजार करना,Model m,आने वाली चुनौतियों का इंतजार करना,0.0,0.0,0.0
ch_292958_499.83_502.32.wav,आने वाली चुनौतियों  का इंतजार करना,Model n,आने वाली चुनौतियों का इंतजार करना,0.0,0.0,0.0
ch_41359_476.04_478.23.wav,अचानक आई मुश्किलों का सामना करना,Model H,अचानक आई मुश्किलों का सामना करना,0.0,0.0,0.0
ch_41359_476.04_478.23.wav,अचानक आई मुश्किलों का सामना करना,Model i,अचानक आई मुश्किलों का सामना करना,0.0,0.0,0.0
ch_41359_476.04_478.23.wav,अचानक आई मुश्किलों का सामना करना,Model k,अचानक आई मुश्किलों का सामना करना।,0.0,0.0,0.0
ch_41359_476.04_478.23.wav,अचानक आई मुश्किलों का सामना करना,Model l,अचानक आई मुश्किलों का सामना करना,0.0,0.0,0.0
ch_41359_476.04_478.23.wav,अचानक आई मुश्किलों का सामना करना,Model m,अچانक आی مुश्कلوں का सاमنा करنा,83.33,0.0,83.33
ch_41359_476.04_478.23.wav,अचानक आई मुश्किलों का सामना करना,Model n,अचानक आई मुश्किलों का सामना करना है,16.67,16.67,0.0
ch_439044_464.37_466.47.wav,सर आपकी इच्छा जय सियाराम,Model H,सर आपकी इच्छा जय श्री आराम,40.0,20.0,20.0
ch_439044_464.37_466.47.wav,सर आपकी इच्छा जय सियाराम,Model i,सर आपकी इच्छा जय सियाराम,0.0,0.0,0.0
ch_439044_464.37_466.47.wav,सर आपकी इच्छा जय सियाराम,Model k,sir आपकी इच्छा। जय सिया राम!,60.0,20.0,40.0
ch_439044_464.37_466.47.wav,सर आपकी इच्छा जय सियाराम,Model l,सर आपकी इच्छा जय शिय राम,40.0,20.0,20.0
ch_439044_464.37_466.47.wav,सर आपकी इच्छा जय सियाराम,Model m,सर आपकी इच्छा जैसी आराम,40.0,0.0,40.0
ch_439044_464.37_466.47.wav,सर आपकी इच्छा जय सियाराम,Model n,सर आपकी इच्छा जय सी आराम,40.0,20.0,20.0
ch_487624_1037.94_1041.27.wav,जी फीडबैक मिलने  पर सुधार करना,Model H,जी फीडबैक मिलने पर सुधार करना,0.0,0.0,0.0
ch_487624_1037.94_1041.27.wav,जी फीडबैक मिलने  पर सुधार करना,Model i,जी फीडबैक मिलने पर सुधार करना,0.0,0.0,0.0
ch_487624_1037.94_1041.27.wav,जी फीडबैक मिलने  पर सुधार करना,Model k,जी feedback मिलने पर सुधार करना।,16.67,0.0,16.67
ch_487624_1037.94_1041.27.wav,जी फीडबैक मिलने  पर सुधार करना,Model l,ज फिडबऐक मिलने पर सुधार करना,33.33,0.0,33.33
ch_487624_1037.94_1041.27.wav,जी फीडबैक मिलने  पर सुधार करना,Model m,जी फीडबैक मिलने पर सुधार करना,0.0,0.0,0.0
ch_487624_1037.94_1041.27.wav,जी फीडबैक मिलने  पर सुधार करना,Model n,फीडबैक मिलने पर सुधार करना,16.67,16.67,0.0
ch_549122_687.60_689.40.wav,जो एक महत्वपूर्ण भूमिका निभाते हैं,Model H,जो एक महत्वपूर्ण भूमिका निभाते हैं,0.0,0.0,0.0
ch_549122_687.60_689.40.wav,जो एक महत्वपूर्ण भूमिका निभाते हैं,Model i,जो एक महत्वपूर्ण भूमिका निभाते हैं।,0.0,0.0,0.0
ch_549122_687.60_689.40.wav,जो एक महत्वपूर्ण भूमिका निभाते हैं,Model k,जो एक महत्वपूर्ण भूमिका निभाते हैं।,0.0,0.0,0.0
ch_549122_687.60_689.40.wav,जो एक महत्वपूर्ण भूमिका निभाते हैं,Model l,जो एक महत्वपूर्ण भूमिका निभाते हैं,0.0,0.0,0.0
ch_549122_687.60_689.40.wav,जो एक महत्वपूर्ण भूमिका निभाते हैं,Model m,जो एक मह्त्वपूर्ण भूमिका निभाते हैं,16.67,0.0,16.67
ch_549122_687.60_689.40.wav,जो एक महत्वपूर्ण भूमिका निभाते हैं,Model n,जो एक महत्वपूर्ण भूमिका निभाते हैं,0.0,0.0,0.0
ch_580286_74.16_76.35.wav,जीवन की चुनौतियों का सामना करना,Model H,जीवन की चुनौतियों का सामना करना,0.0,0.0,0.0
ch_580286_74.16_76.35.wav,जीवन की चुनौतियों का सामना करना,Model i,जीवन की चुनौतियों का सामना करना।,0.0,0.0,0.0
ch_580286_74.16_76.35.wav,जीवन की चुनौतियों का सामना करना,Model k,जीवन की चुनौतियों का सामना करना।,0.0,0.0,0.0
ch_580286_74.16_76.35.wav,जीवन की चुनौतियों का सामना करना,Model l,जीवन की चुनौतियों का सामना करना,0.0,0.0,0.0
ch_580286_74.16_76.35.wav,जीवन की चुनौतियों का सामना करना,Model m,जीवन की चुनौतियों का सामना करना,0.0,0.0,0.0
ch_580286_74.16_76.35.wav,जीवन की चुनौतियों का सामना करना,Model n,जीवन की चुनौतियों का सामना करना,0.0,0.0,0.0
ch_696260_203.52_205.56.wav,हम्म बहुत प्योर हार्ट रहता है सबका,Model H,बहुत प्योर हार्ट रहता है सबका,14.29,14.29,0.0
ch_696260_203.52_205.56.wav,हम्म बहुत प्योर हार्ट रहता है सबका,Model i,हम्म बहुत प्योर हार्ट रहता है सबका।,0.0,0.0,0.0
ch_696260_203.52_205.56.wav,हम्म बहुत प्योर हार्ट रहता है सबका,Model k,बहुत pure heart रहता है सबका।,42.86,14.29,28.57
ch_696260_203.52_205.56.wav,हम्म बहुत प्योर हार्ट रहता है सबका,Model l,बहुत पूरे हार्ट रहता है सबका,28.57,14.29,14.29
ch_696260_203.52_205.56.wav,हम्म बहुत प्योर हार्ट रहता है सबका,Model m,बहुत प्योर हाट रहता है सबका,28.57,14.29,14.29
ch_696260_203.52_205.56.wav,हम्म बहुत प्योर हार्ट रहता है सबका,Model n,बहुत प्योर हार्ट रहता है सबका,14.29,14.29,0.0
ch_88116_190.50_193.14.wav,पूजा और प्रार्थना में  शामिल होना,Model H,पूजा और प्रार्थना में शामिल होना,0.0,0.0,0.0
ch_88116_190.50_193.14.wav,पूजा और प्रार्थना में  शामिल होना,Model i,पूजा और प्रार्थना में शामिल होना,0.0,0.0,0.0
ch_88116_190.50_193.14.wav,पूजा और प्रार्थना में  शामिल होना,Model k,पूजा और प्रार्थना में शामिल होना?,0.0,0.0,0.0
ch_88116_190.50_193.14.wav,पूजा और प्रार्थना में  शामिल होना,Model l,पूजा और प्रार्थना में शामिल होना,0.0,0.0,0.0
ch_88116_190.50_193.14.wav,पूजा और प्रार्थना में  शामिल होना,Model m,पूजा और पर्यार्थना में शामिल होना,16.67,0.0,16.67
ch_88116_190.50_193.14.wav,पूजा और प्रार्थना में  शामिल होना,Model n,पूजा और प्रार्थना में शामिल होना,0.0,0.0,0.0
ch_1538598_420.96_433.47.wav,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भी कुछ अनहेल्दी नहीं खाते हैं ना तो अपना कुछ ऐसे अलग अलग दिशाओं में गया हो ऐसा कुछ हमारे लिए तो नहीं है ये।,Model H,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भी कुछ अनहेल्दी नहीं खाते हैं ना तो अपना कुछ ऐसे अलग अलग दिशाओं में गया हो ऐसा कुछ हमारे लिए तो नहीं है ये,0.0,0.0,0.0
ch_1538598_420.96_433.47.wav,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भी कुछ अनहेल्दी नहीं खाते हैं ना तो अपना कुछ ऐसे अलग अलग दिशाओं में गया हो ऐसा कुछ हमारे लिए तो नहीं है ये।,Model i,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भी कुछ अनहेल्दी नहीं खाते हैं ना तो अपना कुछ ऐसे अलग अलग दिशाओं में गया हो ऐसा कुछ हमारे लिए तो नहीं है ये,0.0,0.0,0.0
ch_1538598_420.96_433.47.wav,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भी कुछ अनहेल्दी नहीं खाते हैं ना तो अपना कुछ ऐसे अलग अलग दिशाओं में गया हो ऐसा कुछ हमारे लिए तो नहीं है ये।,Model k,"डिश बनाते हैं, वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना। अपन भी कुछ अनहेल्दी नहीं खाते हैं ना। तो अपना कुछ ऐसे अलग अलग दिशाओं में गया हो ऐसा कुछ हमारे लिए तो नहीं है ये?",0.0,0.0,0.0
ch_1538598_420.96_433.47.wav,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भी कुछ अनहेल्दी नहीं खाते हैं ना तो अपना कुछ ऐसे अलग अलग दिशाओं में गया हो ऐसा कुछ हमारे लिए तो नहीं है ये।,Model l,दिश बनाते है वो ट्रेडिशनल दिशेस बनाते है तो कुछ कुछ अपन भी वैसे ही है ना अपन भी कुछ अनहेल्दी नहीं खाते है ना तो अपना कुछ ऐसे अलग अलग दिशाओं में गया हो ऐसा कुछ हमारे लिए तो नहीं है ये,11.63,0.0,11.63
ch_1538598_420.96_433.47.wav,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भी कुछ अनहेल्दी नहीं खाते हैं ना तो अपना कुछ ऐसे अलग अलग दिशाओं में गया हो ऐसा कुछ हमारे लिए तो नहीं है ये।,Model m,डिश बनाते हैं वो ट्रेडिशनल डिशस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भी कुछ अनहेलदीनी खाते है ना तो अपना कुछ ऐसे अलग-अलग दिशाओं में गया हो ऐसा कुछ हमारे लिए तो नहीं है यह,11.63,2.33,9.3
ch_1538598_420.96_433.47.wav,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भी कुछ अनहेल्दी नहीं खाते हैं ना तो अपना कुछ ऐसे अलग अलग दिशाओं में गया हो ऐसा कुछ हमारे लिए तो नहीं है ये।,Model n,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भी कुछ अनहेल्दी नहीं खाते हैं ना तो अपना कुछ ऐसे अलग-अलग दिशाओं में गया हो ऐसा कुछ हमारे लिए तो नहीं है ये तो,2.33,2.33,0.0
ch_1669398_336.42_346.86.wav,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर में लचक आ रही है तो वो पसीना पड़े जा रहा है ये है कि उनको हीट वेव्स के कारण कुछ भी हो जाए,Model H,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर में लक्ष्य का आ रही है तो वो पसीना पड़े जा रहा है ये कि उनको हीट वेब्स के कारण कुछ भी हो जाए,9.3,4.65,4.65
ch_1669398_336.42_346.86.wav,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर में लचक आ रही है तो वो पसीना पड़े जा रहा है ये है कि उनको हीट वेव्स के कारण कुछ भी हो जाए,Model i,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर में लचक आ रही है तो वो पसीना पड़े जा रहा है ये है कि उनको हीट वेव्स के कारण कुछ भी हो जाए,0.0,0.0,0.0
ch_1669398_336.42_346.86.wav,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर में लचक आ रही है तो वो पसीना पड़े जा रहा है ये है कि उनको हीट वेव्स के कारण कुछ भी हो जाए,Model k,"जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए, बाद में दौड़ भी नहीं पा रहे और शरीर में लचका आ रही है तो वो पसीना पड़े जा रहा है। ये है कि उनको हीट वेव के कारण कुछ भी हो जाए।",4.65,0.0,4.65
ch_1669398_336.42_346.86.wav,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर में लचक आ रही है तो वो पसीना पड़े जा रहा है ये है कि उनको हीट वेव्स के कारण कुछ भी हो जाए,Model l,जी ऐसा ना हो की उन्होंने तिइड कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर में लचक आ रही है तो वो पसीना पड़े जा रहा है ये है की उनको हट वेव् के कारण कुछ भी हो जाए,11.63,0.0,11.63
ch_1669398_336.42_346.86.wav,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर में लचक आ रही है तो वो पसीना पड़े जा रहा है ये है कि उनको हीट वेव्स के कारण कुछ भी हो जाए,Model m,जी ऐसा ना हो कि उन्होंने टाइड कपड़े पहने लिए बाद में धोड़ भी नहीं पा रहे शरीर में लच्च का रही है तो वो पसीना पड़े जा रहा है ये है कि उनको हीट वेब्स के कारण कुछ भी हो जाए,16.28,2.33,13.95
ch_1669398_336.42_346.86.wav,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर में लचक आ रही है तो वो पसीना पड़े जा रहा है ये है कि उनको हीट वेव्स के कारण कुछ भी हो जाए,Model n,जी ऐसा ना हो की उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर में लचक आ रही है तो वह पसीना पड़े जा रहा है यह की उनको हीट वेब्स के कारण कुछ भी हो जाए,13.95,2.33,11.63
ch_1725602_690.72_699.39.wav,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थे चाबी वगैरह आपको आप कहीं दूर जाता तो तब बड़ी मुश्किल से गाड़ी की चाबी मिलती थी,Model H,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थे चाबी वगैरह आपको आप कहीं दूर जाता तो तब बड़ी मुश्किल से गाड़ी की चाबी मिलती थी,0.0,0.0,0.0
ch_1725602_690.72_699.39.wav,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थे चाबी वगैरह आपको आप कहीं दूर जाता तो तब बड़ी मुश्किल से गाड़ी की चाबी मिलती थी,Model i,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थे चाबी वगैरह आपको आप कहीं दूर जाता तो तब बड़ी मुश्किल से गाड़ी की चाबी मिलती थी,0.0,0.0,0.0
ch_1725602_690.72_699.39.wav,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थे चाबी वगैरह आपको आप कहीं दूर जाता तो तब बड़ी मुश्किल से गाड़ी की चाबी मिलती थी,Model k,"पहले सब्जी मार्केट तक जाना था, सब ऐसे ही जाते थे। कौन सा वही बात है, कौन सा देते थे चाबी वगैरह आपको। आप कहीं दूर जाता तो तब बड़ी मुश्किल से गाड़ी की चाबी मिलती थी।",2.7,0.0,2.7
ch_1725602_690.72_699.39.wav,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थे चाबी वगैरह आपको आप कहीं दूर जाता तो तब बड़ी मुश्किल से गाड़ी की चाबी मिलती थी,Model l,पहले सब्जी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थे चाबी वगैरह आपको आप कहीं दूर जाता था तब बड़ी मुश्किल से गाड़ी की चाबी मिलती थी,5.41,0.0,5.41
ch_1725602_690.72_699.39.wav,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थे चाबी वगैरह आपको आप कहीं दूर जाता तो तब बड़ी मुश्किल से गाड़ी की चाबी मिलती थी,Model m,पहले सब्जी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थे चाबी वगैर आपको आ कई दूर जाता तो तब बड़ी मुश्किल से गाड़ी की चाबी मिलती थी,10.81,0.0,10.81
ch_1725602_690.72_699.39.wav,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थे चाबी वगैरह आपको आप कहीं दूर जाता तो तब बड़ी मुश्किल से गाड़ी की चाबी मिलती थी,Model n,पहले सब्जी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थे चाबी वगैरह आपको आप कोई दूर जाता तो तब बड़ी मुश्किल से गाड़ी की चाबी मिलती थी,5.41,0.0,5.41
ch_1597583_323.52_331.38.wav,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस समय अब ऐसा नहीं करना चाहिए था हमको,Model H,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस समय अब नरेशा नहीं करना चाहिए था हमको,4.55,0.0,4.55
ch_1597583_323.52_331.38.wav,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस समय अब ऐसा नहीं करना चाहिए था हमको,Model i,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस समय अब ऐसा नहीं करना चाहिए था हमको,0.0,0.0,0.0
ch_1597583_323.52_331.38.wav,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस समय अब ऐसा नहीं करना चाहिए था हमको,Model k,"जब जैसे-जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए, उस समय और ऐसा नहीं करना चाहिए था हमको।",4.55,0.0,4.55
ch_1597583_323.52_331.38.wav,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस समय अब ऐसा नहीं करना चाहिए था हमको,Model l,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहव किए उस समय आब नऐसा नहीं करना चाहिए था हमको,13.64,0.0,13.64
ch_1597583_323.52_331.38.wav,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस समय अब ऐसा नहीं करना चाहिए था हमको,Model m,जब जैसे-जैसे समझदारी आती है कि हम उनके साथ कैसा विहब किए उस सम आर नैसा नहीं करना चाहिए था हमको,18.18,0.0,18.18
ch_1597583_323.52_331.38.wav,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस समय अब ऐसा नहीं करना चाहिए था हमको,Model n,जब जैसे-जैसे समझदारी आती है कि हम उनके साथ कैसा विहब किए उस समय अब नैसा नहीं करना चाहिए था हमको,9.09,0.0,9.09
ch_1539708_53.28_68.01.wav,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन्य जगह पर घूमने जाना यात्रा करना भ्रमण करना चाहे वो किसी भी रूप में हो चाहे किसी पर्यटन स्थल पर हो दर्शनीय स्थल पर हो किसी के,Model H,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन्य जगह पर घूमने जाना यात्रा करना प्रवन करना चाहे वो किसी भी रूप में हो चाहे किसी पर्यटन स्थल पर हो दर्शनीय स्थल पर हो किसी के,2.22,0.0,2.22
ch_1539708_53.28_68.01.wav,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन्य जगह पर घूमने जाना यात्रा करना भ्रमण करना चाहे वो किसी भी रूप में हो चाहे किसी पर्यटन स्थल पर हो दर्शनीय स्थल पर हो किसी के,Model i,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन्य जगह पर घूमने जाना यात्रा करना भ्रमण करना चाहे वो किसी भी रूप में हो चाहे किसी पर्यटन स्थल पर हो दर्शनीय स्थल पर हो किसी के,0.0,0.0,0.0
ch_1539708_53.28_68.01.wav,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन्य जगह पर घूमने जाना यात्रा करना भ्रमण करना चाहे वो किसी भी रूप में हो चाहे किसी पर्यटन स्थल पर हो दर्शनीय स्थल पर हो किसी के,Model k,"बंद हो जाता है तो इन सबसे, इन सबका एक ही उपाय होता है। कई अन्य जगह पर घूमने जाना, यात्रा करना, भ्रमण करना, चाहे वो किसी भी रूप में हो, चाहे किसी पर्यटन स्थल पर हो, दर्शनीय स्थल पर हो, किसी के-",8.89,4.44,4.44
ch_1539708_53.28_68.01.wav,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन्य जगह पर घूमने जाना यात्रा करना भ्रमण करना चाहे वो किसी भी रूप में हो चाहे किसी पर्यटन स्थल पर हो दर्शनीय स्थल पर हो किसी के,Model l,बंद हो जाता है तो इन सबसे इन सबका एक ही उपाय होता है कहीं अन्य जगह पर घूमने जाना यात्रा करना भ्रमण करना चाहे वह किसी भी रूप में हो चाहे किसी पर्यटन स्थल पर हो दर्शनीय स्थल पर हो किसी के,13.33,4.44,8.89
ch_1539708_53.28_68.01.wav,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन्य जगह पर घूमने जाना यात्रा करना भ्रमण करना चाहे वो किसी भी रूप में हो चाहे किसी पर्यटन स्थल पर हो दर्शनीय स्थल पर हो किसी के,Model m,बंद हो जाता है तो इन सबसे इन सबका एक ही उपाय होता है कई अन्य जगह पर घूमने जाना यात्रा करना भ्रहमण करना चाहे वो किसी भी रूप में हो चाहे किसी पर्यटन स्थल पर हो दर्शनीय स्थल पर हो किसी के,11.11,4.44,6.67
ch_1539708_53.28_68.01.wav,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन्य जगह पर घूमने जाना यात्रा करना भ्रमण करना चाहे वो किसी भी रूप में हो चाहे किसी पर्यटन स्थल पर हो दर्शनीय स्थल पर हो किसी के,Model n,बंद हो जाता है तो इन सबसे इन सबका एक ही उपाय होता है कई अन्य जगह पर घूमने जाना यात्रा करना भ्रमण करना चाहे वो किसी भी रूप में हो चाहे किसी पर्यटन स्थल पर हो दर्शनीय स्थल पर हो किसी के,8.89,4.44,4.44
ch_82714_160.47_173.70.wav,एक दिन पहले या उसी दिन चतुर्थी के दिन लोग उसको लेकर आते हैं मूर्ति को थोड़ा सा फेस को जो चेहरा होता है ना गणेश जी का वो ढक कर और फिर उनको लेकर आते हैं बैंड बाजे के साथ में लेकर आते हैं,Model H,एक दिन पहले या उसी दिन चतुर्थी के दिन लोग उसको लेकर आते हैं मूर्ति को थोड़ा सा फेस को जो चेहरा होता है ना गणेश जी का वो ढक कर और फिर उनको लेकर आते हैं बैंड बाजे के साथ में लेकर आते हैं,0.0,0.0,0.0
ch_82714_160.47_173.70.wav,एक दिन पहले या उसी दिन चतुर्थी के दिन लोग उसको लेकर आते हैं मूर्ति को थोड़ा सा फेस को जो चेहरा होता है ना गणेश जी का वो ढक कर और फिर उनको लेकर आते हैं बैंड बाजे के साथ में लेकर आते हैं,Model i,एक दिन पहले या उसी दिन चतुर्थी के दिन लोग उसको लेकर आते हैं मूर्ति को थोड़ा सा फेस को जो चेहरा होता है ना गणेश जी का वो ढक कर और फिर उनको लेकर आते हैं बैंड बाजे के साथ में लेकर आते हैं,0.0,0.0,0.0
